Input provided to the model,Whether the prediction is correct (true/false),Expected if condition,Predicted if condition,Prediction score (0-100)
"def __init__(self, verbose_name=None, name=None, upload_to='', storage=None, **kwargs):
    self._primary_key_set_explicitly = 'primary_key' in kwargs
    self.storage = storage if storage is not None else default_storage
    if callable(self.storage):
        self._storage_callable = self.storage
        self.storage = self.storage()
        if <MASK>:
            raise TypeError('%s.storage must be a subclass/instance of %s.%s' % (self.__class__.__qualname__, Storage.__module__, Storage.__qualname__))
    self.upload_to = upload_to
    kwargs.setdefault('max_length', 100)
    super().__init__(verbose_name, name, **kwargs)",False,"not isinstance(self.storage, Storage)",name is None,42.85
"@dispatch.add_dispatch_support
@doc_controls.do_not_generate_docs
def pool3d(x, pool_size, strides=(1, 1, 1), padding='valid', data_format=None, pool_mode='max'):
    """"""3D Pooling.

  Args:
      x: Tensor or variable.
      pool_size: tuple of 3 integers.
      strides: tuple of 3 integers.
      padding: string, `""same""` or `""valid""`.
      data_format: string, `""channels_last""` or `""channels_first""`.
      pool_mode: string, `""max""` or `""avg""`.

  Returns:
      A tensor, result of 3D pooling.

  Raises:
      ValueError: if `data_format` is neither `""channels_last""` or
      `""channels_first""`.
      ValueError: if `pool_mode` is neither `""max""` or `""avg""`.
  """"""
    if data_format is None:
        data_format = image_data_format()
    if data_format not in {'channels_first', 'channels_last'}:
        raise ValueError('Unknown data_format: ' + str(data_format))
    (x, tf_data_format) = _preprocess_conv3d_input(x, data_format)
    padding = _preprocess_padding(padding)
    if <MASK>:
        strides = (1,) + strides + (1,)
        pool_size = (1,) + pool_size + (1,)
    else:
        strides = (1, 1) + strides
        pool_size = (1, 1) + pool_size
    if pool_mode == 'max':
        x = nn.max_pool3d(x, pool_size, strides, padding=padding, data_format=tf_data_format)
    elif pool_mode == 'avg':
        x = nn.avg_pool3d(x, pool_size, strides, padding=padding, data_format=tf_data_format)
    else:
        raise ValueError('Invalid pooling mode: ' + str(pool_mode))
    if data_format == 'channels_first' and tf_data_format == 'NDHWC':
        x = array_ops.transpose(x, (0, 4, 1, 2, 3))
    return x",False,tf_data_format == 'NDHWC',data_format == ' NCHW ',79.96
"def test_composite_state_complex(self):

    class TestClassX(object):

        def __init__(self, x):
            self.x = x

    class TestClassY(object):

        def __init__(self, y):
            self.y = y

    def f(n):
        tc = TestClassX(TestClassY({'z': TestClassX(n)}))
        if <MASK>:
            while n > 0:
                if n < 2:
                    tc.x.y['z'].x += 1
                n -= 1
        return (n, tc)
    tr = self.transform(f, control_flow)
    (n, tc) = tr(constant_op.constant(5))
    self.assertValuesEqual((n, tc.x.y['z'].x), (0, 6))",False,n > 0,n == 0,62.88
"def assign(self, value, use_locking=None, name=None, read_value=True):
    """"""Assigns a new value to this variable.

    Args:
      value: A `Tensor`. The new value for this variable.
      use_locking: If `True`, use locking during the assignment.
      name: The name to use for the assignment.
      read_value: A `bool`. Whether to read and return the new value of the
        variable or not.

    Returns:
      If `read_value` is `True`, this method will return the new value of the
      variable after the assignment has completed. Otherwise, when in graph mode
      it will return the `Operation` that does the assignment, and when in eager
      mode it will return `None`.
    """"""
    with _handle_graph(self.handle):
        value_tensor = ops.convert_to_tensor(value, dtype=self.dtype)
        if not self._shape.is_compatible_with(value_tensor.shape):
            if self.name is None:
                tensor_name = ''
            else:
                tensor_name = ' ' + str(self.name)
            raise ValueError(f""Cannot assign value to variable '{tensor_name}': Shape mismatch.The variable shape {self._shape}, and the assigned value shape {value_tensor.shape} are incompatible."")
        kwargs = {}
        if forward_compat.forward_compatible(2022, 3, 23):
            validate_shape = self._validate_shape and self._shape.is_fully_defined()
            kwargs['validate_shape'] = validate_shape
        assign_op = gen_resource_variable_ops.assign_variable_op(self.handle, value_tensor, name=name, **kwargs)
        if <MASK>:
            return self._lazy_read(assign_op)
    return assign_op",False,read_value,context . executing_eagerly (),60.2
"def _train_for_several_steps(self, model: nn.Module, num_steps: int, autocast: bool, lr: float=0.01, fsdp_cpu_offload: Optional[CPUOffload]=None, save_model: bool=False, mixed_precision: Optional[MixedPrecision]=None, enable_sharded_grad_scaler: bool=False, use_pure_fp16: bool=False, sharded_grad_scaler_kwargs: Optional[dict[str, Any]]=None):
    cpu_offload_params = fsdp_cpu_offload and fsdp_cpu_offload.offload_params
    model_device = next(model.parameters()).device
    if sharded_grad_scaler_kwargs is None:
        sharded_grad_scaler_kwargs = {}
    sharded_grad_scaler = ShardedGradScaler(enabled=enable_sharded_grad_scaler, **sharded_grad_scaler_kwargs)
    optim = torch.optim.SGD(model.parameters(), lr=lr, momentum=0.9)
    for _ in range(num_steps):
        optim.zero_grad()
        with torch.amp.autocast(DEVICE_TYPE, enabled=autocast):
            input = model.module.get_input(torch.device(DEVICE_TYPE))
            if use_pure_fp16 or (mixed_precision and (not isinstance(model, FSDP))):
                if isinstance(input, torch.Tensor):
                    input = input.half()
                else:
                    input = tuple((x.half() for x in input))
            output = model(*input)
            if cpu_offload_params and isinstance(model, FSDP) and (model.sharding_strategy not in NO_RESHARD_AFTER_FORWARD_STRATEGIES):
                for p in model.parameters():
                    self.assertEqual(p.device, torch.device('cpu'))
            loss = model.module.get_loss(input, output).to(model_device)
        loss = sharded_grad_scaler.scale(loss)
        if <MASK>:
            assert loss.dtype == torch.float32, 'loss data type should be float32, as the original                     parameter data type is float32.'
        elif use_pure_fp16:
            self.assertEqual(loss.dtype, torch.float16)
        elif isinstance(model, FSDP):
            assert mixed_precision is not None
            self.assertEqual(loss.dtype, mixed_precision.param_dtype)
        else:
            self.assertEqual(loss.dtype, torch.float32)
        model.module.run_backward(loss)
        if cpu_offload_params and isinstance(model, FSDP):
            for p in model.parameters():
                self.assertEqual(p.device, torch.device('cpu'))
        sharded_grad_scaler.step(optim)
        sharded_grad_scaler.update()
        if save_model:
            state_dict = {k: v.clone() for (k, v) in model.state_dict().items()}
            _zero_model(model)
            model.load_state_dict(state_dict)
    if isinstance(model, FSDP):
        model._assert_state(TrainingState.IDLE)
    return loss.detach()",False,not mixed_precision and (not use_pure_fp16),"isinstance ( v , torch . Tensor )",52.87
"def _dp_init_subclass(sub_cls, *args, **kwargs):
    sub_cls.reinforce_type = reinforce_type
    if getattr(sub_cls, '__type_class__', False):
        return
    if isinstance(sub_cls.type.param, ForwardRef):
        base_globals = sys.modules[sub_cls.__module__].__dict__
        try:
            param = _eval_type(sub_cls.type.param, base_globals, locals())
            sub_cls.type.param = param
        except TypeError as e:
            raise TypeError(f'{sub_cls.type.param.__forward_arg__} is not supported by Python typing') from e
    if '__iter__' in sub_cls.__dict__:
        iter_fn = sub_cls.__dict__['__iter__']
        hints = get_type_hints(iter_fn)
        if <MASK>:
            return_hint = hints['return']
            if return_hint == Iterator:
                return
            if not (hasattr(return_hint, '__origin__') and (return_hint.__origin__ == Iterator or return_hint.__origin__ == collections.abc.Iterator)):
                raise TypeError(""Expected 'Iterator' as the return annotation for `__iter__` of {}, but found {}"".format(sub_cls.__name__, _type_repr(hints['return'])))
            data_type = return_hint.__args__[0]
            if not issubtype(data_type, sub_cls.type.param):
                raise TypeError(f""Expected return type of '__iter__' as a subtype of {sub_cls.type}, but found {_type_repr(data_type)} for {sub_cls.__name__}"")",False,'return' in hints,"isinstance ( param , ( list , tuple ))",48.29
"def assert_replica_context(strategy):
    replica_context = distribute_lib.get_replica_context()
    if <MASK>:
        raise RuntimeError('Replica-local variables may only be assigned in a replica context.')
    if replica_context.strategy is not strategy:
        raise RuntimeError('Replica-local variables may only be assigned in a replica context.')",False,not replica_context,strategy is None,38.02
"def replace_quantized_ops_with_standard_ops(gm: torch.fx.GraphModule):
    """"""
    Replace legacy quantized ops (aten.quantize_per_tensor, quantized.conv) with
    PT2 ops (quantize_decomposed.quantize_per_tensor, aten.conv).

    Before:    x || -> aten.q        || -> quantized.conv2d     || -> quantized.linear    || -> aten.dq || -> y

    After:     x || -> qd.q -> qd.dq || -> aten.conv2d -> qd.q -> qd.dq || aten.linear -> qd.q -> qd.dq || -> y

    (qd == quantized_decomposed library, q = quantize, dq = dequantize)
                                          ^
                                          |
                getattr(w), getattr(b) from Conv2dParamPrepack

    During each iteration, the transformation spits out the transformed operator, its quantized output,
    and its dequantized value together. We did this because dequantization need to use the
    scale and zero point parameters from the quantization to recover the approximate original value. After each
    iteration, the new dequantization node will be used as the input to the next node (e.g., dq2 -> linear).

    For operators like conv2d and linear, their weights and bias are packed in a quantized format in the ScriptObject.
    During the transformation, we unpack those objects, get their dequantized tensor, populate those
    as attributes to the module, and use getattr to access them.

    One exception in the transformation is conv_prepack and linear_prepack. Those calls pack
    weight and bias constant tensors into ScriptObject, which are then used by subsequent conv2d or linear calls.
    During transformation, we directly skip transforming conv_prepack or linear_prepack. We check whether ScriptObject to the
    quantized::conv2d or linear is from conv_prepack or linear_prepack. If it is, we then inline those parameters
    to the operator by converting them to a getattr fx.node.

    For prepacked::conv2d_clamp_run and prepacked::linear_clamp_run, we directly convert them to aten.conv2d and aten.linear
    without the need of doing de/quantization.

    Three global variables defined are _INPUT_Q_DTYPE, _SCALE, _ZERO_POINT. _INPUT_Q_DTYPE determines the de/quantization
    data type, which is the same across the entire program, but it only shows up in the very first quantization
    call. _SCALE and _ZERO_POINT are used only when operators do not have those specified. E.g., mul.Scalar.
    """"""
    global _INPUT_Q_DTYPE
    quantized = False
    last_quantized_node = None
    for node in gm.graph.nodes:
        if isinstance(node.target, OpOverload):
            with gm.graph.inserting_before(node):
                (namespace, opname) = (node.target.namespace, node.target._opname)
                if namespace == 'quantized' and opname not in ['conv_prepack', 'linear_prepack']:
                    quantized = True
                    fx_node = fx_transform_quantized_op_to_standard_op(gm, node)
                    node.replace_all_uses_with(fx_node)
                    last_quantized_node = fx_node
                elif namespace == 'prepacked':
                    quantized = True
                    fx_node = _transform_prepacked_op(gm, node)
                    node.replace_all_uses_with(fx_node)
                    last_quantized_node = fx_node
                elif namespace == 'aten' and opname == 'quantize_per_tensor':
                    (inp_node, scale_node, zero_point_node, dtype_node) = node.args
                    dtype_node = fx_enum_to_dtype(gm, dtype_node)
                    _INPUT_Q_DTYPE = dtype_node
                    (qmin_node, qmax_node) = insert_qmin_qmax_node(gm, dtype_node)
                    q_fx_node = insert_quantized_node(gm, inp_node, scale_node, zero_point_node, qmin_node, qmax_node, dtype_node, torch.per_tensor_affine)
                    dq_fx_node = insert_dequantized_node(gm, q_fx_node, scale_node, zero_point_node, qmin_node, qmax_node, dtype_node, None, torch.per_tensor_affine)
                    node.replace_all_uses_with(dq_fx_node)
                    last_quantized_node = dq_fx_node
                elif namespace == 'aten' and opname == 'dequantize':
                    assert last_quantized_node is not None
                    node.replace_all_uses_with(last_quantized_node)
                else:
                    last_quantized_node = node

    def _clean_attr(mod: torch.nn.Module):
        for submod in mod.modules():
            attr_names_to_clean = set()
            for (k, v) in submod.__dict__.items():
                if <MASK>:
                    attr_names_to_clean.add(k)
                if k == '_buffers':
                    buffer_name_to_clean = set()
                    for (b_name, b_value) in v.items():
                        if isinstance(b_value, torch.Tensor) and b_value.dtype in [torch.qint8, torch.quint8]:
                            buffer_name_to_clean.add(b_name)
                    for b_name in buffer_name_to_clean:
                        v.pop(b_name, None)
            for attr_name in attr_names_to_clean:
                delattr(submod, attr_name)
    if quantized:
        '\n        TODO: SetAttr + quantized ops will result incorrect program. This flag is used to temporarily\n        bypass test cases.\n\n        The deadcode elimination pass is needed to remove legacy quantized ops. Otherwise, retracing\n        will throw errors. However, the current way of SetAttr does inplace update to attributes, so\n        this pass regard them as dead code and remove them. Below is an example of GraphModule before\n        and after the dead code elimination pass.\n\n        class GraphModule(torch.nn.Module):\n            def forward(self, x_1):\n                # No stacktrace found for following nodes\n                data = self.data;  data = None\n                data_1 = self.data\n                add_tensor = torch.ops.aten.add.Tensor(data_1, x_1, alpha = 1);  data_1 = None\n                data_2 = self.data\n                copy_ = torch_Tensor_copy_(data_2, add_tensor);  data_2 = add_tensor = copy_ = None\n                data_3 = self.data\n                add_tensor_1 = torch.ops.aten.add.Tensor(x_1, data_3, alpha = 1);  x_1 = data_3 = None\n                return add_tensor_1\n\n        class GraphModule(torch.nn.Module):\n            def forward(self, x_1):\n                # No stacktrace found for following nodes\n                data_3 = self.data\n                add_tensor_1 = torch.ops.aten.add.Tensor(x_1, data_3, alpha = 1);  x_1 = data_3 = None\n                return add_tensor_1\n        '
        gm.graph.eliminate_dead_code()
        _clean_attr(gm)",False,"isinstance(v, torch.ScriptObject)",node . op == ' call_function ',70.42
"@RegisterPFor('TensorArrayGatherV3')
def _convert_tensor_array_gather_v3(pfor_input: _PforInput):
    handle = pfor_input.unstacked_input(0)
    (indices, indices_stacked, _) = pfor_input.input(1)
    indices = array_ops.reshape(indices, [-1])
    (flow, flow_stacked, _) = pfor_input.input(2)
    if flow_stacked:
        flow = _unstack_flow(flow)
    dtype = pfor_input.get_attr('dtype')
    n = pfor_input.pfor.loop_len_vector
    value = data_flow_ops.tensor_array_gather_v3(handle, indices, flow, dtype=dtype)
    is_inside = _handle_inside_pfor(pfor_input, pfor_input.op.inputs[0])
    if is_inside:
        if <MASK>:
            if flow_stacked:
                raise ValueError('It looks like TensorArrayGatherV3 was called on a TensorArray whose values are not loop-invariant, and the indices were also not loop invariant. This is currently unsupported.')
            else:
                value = _unflatten_first_dim(value, n)
                return wrap(value, True)
        else:
            if flow_stacked:
                value = _transpose_first_two_dims(value)
            return wrap(value, flow_stacked)
    else:
        if indices_stacked:
            value = _unflatten_first_dim(value, n)
        return wrap(value, indices_stacked)",False,indices_stacked,p . dtype == dtypes . bfloat16,38.86
"def _need_skip_config(self, quantization_config: Optional[QuantizationConfig]) -> bool:
    """"""Check if the provided quantization config is valid for X86InductorQuantizer.

        Mixed static/dynamic configurations or mixed QAT/non-QAT configurations are not supported.
        To avoid such a mix, we compare the incoming configuration with current configuration status.
        Refer the `_CurrentQuantizationMode` definition for all possible modes.
        """"""
    if <MASK>:
        return False
    need_skip = False
    current_mode = self._get_current_quantization_mode()
    if current_mode.qat_state is not None and current_mode.qat_state != quantization_config.is_qat:
        warnings.warn('Mixed QAT and Non-QAT quantization config is not supported.')
        need_skip = True
    if current_mode.dynamic_state is not None:
        input_activation_spec = quantization_config.input_activation
        if input_activation_spec is not None and current_mode.dynamic_state != input_activation_spec.is_dynamic:
            warnings.warn('Mixed dynamic and static quantization config is not supported.')
            need_skip = True
    return need_skip",False,quantization_config is None,config . version is not None,35.15
"def _create_dataset_reader(dataset_creator, filenames, num_parallel_reads=None, name=None):
    """"""Creates a dataset that reads the given files using the given reader.

  Args:
    dataset_creator: A function that takes in a single file name and returns a
      dataset.
    filenames: A `tf.data.Dataset` containing one or more filenames.
    num_parallel_reads: The number of parallel reads we should do.
    name: (Optional.) A name for the tf.data operation.

  Returns:
    A `Dataset` that reads data from `filenames`.
  """"""

    def read_one_file(filename):
        filename = ops.convert_to_tensor(filename, dtypes.string, name='filename')
        return dataset_creator(filename)
    if <MASK>:
        return filenames.flat_map(read_one_file, name=name)
    elif num_parallel_reads == dataset_ops.AUTOTUNE:
        return filenames.interleave(read_one_file, num_parallel_calls=num_parallel_reads, name=name)
    else:
        return ParallelInterleaveDataset(filenames, read_one_file, cycle_length=num_parallel_reads, block_length=1, sloppy=False, buffer_output_elements=None, prefetch_input_elements=None, name=name)",False,num_parallel_reads is None,num num num num > 1,26.13
"@contextlib.contextmanager
def _unshard_fsdp_state_params(module: nn.Module, state: _FSDPState, writeback: bool, rank0_only: bool, offload_to_cpu: bool, with_grads: bool):
    """"""
    This unshards the parameters for a single FSDP state ``state`` that
    corresponds to ``module``.
    """"""
    _validate_unshard_params_args(state, writeback, rank0_only, offload_to_cpu, with_grads)
    state._device_handle.synchronize()
    maybe_handle = _module_handle(state, module)
    handle = None
    if maybe_handle and maybe_handle._training_state != HandleTrainingState.SUMMON_FULL_PARAMS:
        handle = maybe_handle
    if not handle:
        yield
        return
    if handle._training_state != HandleTrainingState.IDLE:
        raise AssertionError(f'Expects the handle training to be IDLE but got {handle._training_state}')
    handle._training_state = HandleTrainingState.SUMMON_FULL_PARAMS
    _reset_flat_param_grad_info_if_needed(handle)
    free_unsharded_flat_param = handle.needs_unshard()
    computation_stream = state._device_handle.current_stream()
    _unshard(state, handle, computation_stream, computation_stream)
    if with_grads:
        _unshard_grads(handle)
    if <MASK>:
        _reshard(state, handle, free_unsharded_flat_param)
        if with_grads:
            _reshard_grads(handle)
        try:
            yield
        finally:
            handle._training_state = HandleTrainingState.IDLE
    else:
        with contextlib.ExitStack() as stack:
            if offload_to_cpu and handle.uses_sharded_strategy:
                stack.enter_context(handle.to_cpu())
            if not state._use_orig_params:
                stack.enter_context(_unflatten_as_params(state, module))
            try:
                yield
            finally:
                stack.close()
                if writeback:
                    _writeback_to_local_shard(handle, with_grads)
                _reshard(state, handle, free_unsharded_flat_param)
                if with_grads:
                    _reshard_grads(handle)
                handle._training_state = HandleTrainingState.IDLE",False,rank0_only and state.rank != 0,handle is not None,54.99
"def get(self, key, otherwise=None):
    for d in reversed(self.dicts):
        if <MASK>:
            return d[key]
    return otherwise",False,key in d,d is None,63.09
"def construct_cat_args(graph: torch.fx.Graph, cat_or_stack_node: torch.fx.Node, inputs: list[torch.fx.Node], split_or_unbind_node: torch.fx.Node, threshold_to_cat: int=2, run_update_func: Callable=update_args_from_split_getitem) -> tuple[list[torch.fx.Node], list[torch.Tensor]]:
    (new_cat_args, parents_seen, getitem_indices, idx_to_getitems) = ([], [], [], {})
    new_cat_args_meta = []
    for input in inputs:
        if input.target != operator.getitem:
            if <MASK>:
                run_update_func(graph, cat_or_stack_node, getitem_indices, parents_seen, new_cat_args, new_cat_args_meta, idx_to_getitems, threshold_to_cat)
            new_cat_args.append(input)
            new_cat_args_meta.append(input.meta['example_value'])
            (getitem_indices, idx_to_getitems) = ([], {})
        else:
            (parent, idx) = (input.args[0], input.args[1])
            if parent.target != split_or_unbind_node.target:
                new_cat_args.append(input)
                new_cat_args_meta.append(input.meta['example_value'])
                continue
            if len(parents_seen) == 0:
                parents_seen.append(parent)
                idx_to_getitems[idx] = input
                getitem_indices.append(idx)
                if input == inputs[-1]:
                    new_cat_args.append(input)
                    new_cat_args_meta.append(input.meta['example_value'])
                continue
            if parent != parents_seen[-1] or input == inputs[-1]:
                if input == inputs[-1]:
                    getitem_indices.append(idx)
                    idx_to_getitems[idx] = input
                run_update_func(graph, cat_or_stack_node, getitem_indices, parents_seen, new_cat_args, new_cat_args_meta, idx_to_getitems, threshold_to_cat)
                parents_seen.append(parent)
                (getitem_indices, idx_to_getitems) = ([idx], {idx: input})
            else:
                getitem_indices.append(idx)
                idx_to_getitems[idx] = input
    return (new_cat_args, new_cat_args_meta)",False,len(parents_seen) > 0,"isinstance ( target , torch . Tensor )",51.45
"def __init__(self, case, mode, device, dtype, kernel_size, N, iC, H, W, oC):
    super().__init__(mode, device, dtype)
    self.case = case
    self.kernel_size = kernel_size
    self.N = N
    self.iC = iC
    self.H = H
    self.W = W
    self.oC = oC
    self.data = self.rand([N, iC, H, W], device=device, requires_grad=self.requires_grad)
    if case == 'conv':
        self.groups = 1
    elif case == 'depthwise_conv':
        self.groups = iC
    else:
        raise ValueError(f'invalid case: {case}')
    self.conv = self.conv2d_layer(iC, oC, kernel_size, groups=self.groups)
    if <MASK>:
        self.to_device(self.conv, device)",False,device != 'cpu',mode == ' NCHW ',37.22
"def test_recovers_from_an_exception_in_step_fn_after_hooks(self):
    trace_the_exception = {'run_already': False, 'side_effect_counter': 0}
    with ops.Graph().as_default():
        c = array_ops.placeholder(dtypes.float32)
        v = array_ops.identity(c)
        graph_state = variable_v1.VariableV1(0.0)
        graph_side_effect = state_ops.assign_add(graph_state, 0.31)

        def step_fn(step_context):
            trace_the_exception['side_effect_counter'] += 1
            step_context.session.run(graph_side_effect)
            value = step_context.run_with_hooks(fetches=v, feed_dict={c: 3.2})
            if <MASK>:
                trace_the_exception['run_already'] = True
                raise errors_impl.AbortedError(None, None, 'Abort')
            return value
        with self.cached_session() as test_session:
            with monitored_session.MonitoredSession(CountingSessionCreator(test_session)) as session:
                session.run(variables.global_variables_initializer())
                self.assertNear(3.2, session.run_step_fn(step_fn), 0.1)
                self.assertTrue(trace_the_exception['run_already'])
                self.assertEqual(2, trace_the_exception['side_effect_counter'])
                self.assertNear(0.62, session.run(graph_state), 0.1)",False,not trace_the_exception['run_already'],not context . executing_eagerly (),73.62
"def __getitem__(self, key):
    """"""Returns the value of a dimension or a shape, depending on the key.

    Args:
      key: If `key` is an integer, returns the dimension at that index;
        otherwise if `key` is a slice, returns a TensorShape whose dimensions
        are those selected by the slice from `self`.

    Returns:
      An integer if `key` is an integer, or a `TensorShape` if `key` is a
      slice.

    Raises:
      ValueError: If `key` is a slice and `self` is completely unknown and
        the step is set.
    """"""
    if <MASK>:
        if isinstance(key, slice):
            return TensorShape(self._dims[key])
        elif self._v2_behavior:
            return self._dims[key]
        else:
            return self.dims[key]
    elif isinstance(key, slice):
        start = key.start if key.start is not None else 0
        stop = key.stop
        if key.step is not None:
            raise ValueError('Steps are not yet handled')
        if stop is None:
            return unknown_shape()
        elif start < 0 or stop < 0:
            return unknown_shape()
        else:
            return unknown_shape(rank=stop - start)
    elif self._v2_behavior:
        return None
    else:
        return Dimension(None)",False,self._dims is not None,"isinstance ( key , str )",55.58
"def _isin(ar1, ar2, assume_unique=False, invert=False, *, kind=None):
    ar1 = np.asarray(ar1).ravel()
    ar2 = np.asarray(ar2).ravel()
    if ar2.dtype == object:
        ar2 = ar2.reshape(-1, 1)
    if kind not in {None, 'sort', 'table'}:
        raise ValueError(f""Invalid kind: '{kind}'. Please use None, 'sort' or 'table'."")
    is_int_arrays = all((ar.dtype.kind in ('u', 'i', 'b') for ar in (ar1, ar2)))
    use_table_method = is_int_arrays and kind in {None, 'table'}
    if use_table_method:
        if ar2.size == 0:
            if invert:
                return np.ones_like(ar1, dtype=bool)
            else:
                return np.zeros_like(ar1, dtype=bool)
        if ar1.dtype == bool:
            ar1 = ar1.astype(np.uint8)
        if ar2.dtype == bool:
            ar2 = ar2.astype(np.uint8)
        ar2_min = int(np.min(ar2))
        ar2_max = int(np.max(ar2))
        ar2_range = ar2_max - ar2_min
        below_memory_constraint = ar2_range <= 6 * (ar1.size + ar2.size)
        range_safe_from_overflow = ar2_range <= np.iinfo(ar2.dtype).max
        if range_safe_from_overflow and (below_memory_constraint or kind == 'table'):
            if invert:
                outgoing_array = np.ones_like(ar1, dtype=bool)
            else:
                outgoing_array = np.zeros_like(ar1, dtype=bool)
            if invert:
                isin_helper_ar = np.ones(ar2_range + 1, dtype=bool)
                isin_helper_ar[ar2 - ar2_min] = 0
            else:
                isin_helper_ar = np.zeros(ar2_range + 1, dtype=bool)
                isin_helper_ar[ar2 - ar2_min] = 1
            basic_mask = (ar1 <= ar2_max) & (ar1 >= ar2_min)
            in_range_ar1 = ar1[basic_mask]
            if in_range_ar1.size == 0:
                return outgoing_array
            try:
                ar2_min = np.array(ar2_min, dtype=np.intp)
                dtype = np.intp
            except OverflowError:
                dtype = ar2.dtype
            out = np.empty_like(in_range_ar1, dtype=np.intp)
            outgoing_array[basic_mask] = isin_helper_ar[np.subtract(in_range_ar1, ar2_min, dtype=dtype, out=out, casting='unsafe')]
            return outgoing_array
        elif <MASK>:
            raise RuntimeError(""You have specified kind='table', but the range of values in `ar2` or `ar1` exceed the maximum integer of the datatype. Please set `kind` to None or 'sort'."")
    elif kind == 'table':
        raise ValueError(""The 'table' method is only supported for boolean or integer arrays. Please select 'sort' or None for kind."")
    contains_object = ar1.dtype.hasobject or ar2.dtype.hasobject
    if len(ar2) < 10 * len(ar1) ** 0.145 or contains_object:
        if invert:
            mask = np.ones(len(ar1), dtype=bool)
            for a in ar2:
                mask &= ar1 != a
        else:
            mask = np.zeros(len(ar1), dtype=bool)
            for a in ar2:
                mask |= ar1 == a
        return mask
    if not assume_unique:
        (ar1, rev_idx) = np.unique(ar1, return_inverse=True)
        ar2 = np.unique(ar2)
    ar = np.concatenate((ar1, ar2))
    order = ar.argsort(kind='mergesort')
    sar = ar[order]
    if invert:
        bool_ar = sar[1:] != sar[:-1]
    else:
        bool_ar = sar[1:] == sar[:-1]
    flag = np.concatenate((bool_ar, [invert]))
    ret = np.empty(ar.shape, dtype=bool)
    ret[order] = flag
    if assume_unique:
        return ret[:len(ar1)]
    else:
        return ret[rev_idx]",False,kind == 'table',mask is not None,52.15
"def call_obj_hasattr(self, tx: 'InstructionTranslator', name: str) -> 'VariableTracker':
    if <MASK>:
        source = AttrSource(self.source, name)
        install_guard(source.make_guard(GuardBuilder.HASATTR))
        return variables.ConstantVariable(hasattr(self.value, name))
    return super().call_obj_hasattr(tx, name)",False,self.source,name in self . value,45.24
"@abc.abstractmethod
def __init__(self, graph_parents=None, is_constant_jacobian=False, validate_args=False, dtype=None, forward_min_event_ndims=None, inverse_min_event_ndims=None, name=None):
    """"""Constructs Bijector.

    A `Bijector` transforms random variables into new random variables.

    Examples:

    ```python
    # Create the Y = g(X) = X transform.
    identity = Identity()

    # Create the Y = g(X) = exp(X) transform.
    exp = Exp()
    ```

    See `Bijector` subclass docstring for more details and specific examples.

    Args:
      graph_parents: Python list of graph prerequisites of this `Bijector`.
      is_constant_jacobian: Python `bool` indicating that the Jacobian matrix is
        not a function of the input.
      validate_args: Python `bool`, default `False`. Whether to validate input
        with asserts. If `validate_args` is `False`, and the inputs are invalid,
        correct behavior is not guaranteed.
      dtype: `tf.dtype` supported by this `Bijector`. `None` means dtype is not
        enforced.
      forward_min_event_ndims: Python `integer` indicating the minimum number of
        dimensions `forward` operates on.
      inverse_min_event_ndims: Python `integer` indicating the minimum number of
        dimensions `inverse` operates on. Will be set to
        `forward_min_event_ndims` by default, if no value is provided.
      name: The name to give Ops created by the initializer.

    Raises:
      ValueError:  If neither `forward_min_event_ndims` and
        `inverse_min_event_ndims` are specified, or if either of them is
        negative.
      ValueError:  If a member of `graph_parents` is not a `Tensor`.
    """"""
    self._graph_parents = graph_parents or []
    if forward_min_event_ndims is None and inverse_min_event_ndims is None:
        raise ValueError('Must specify at least one of `forward_min_event_ndims` and `inverse_min_event_ndims`.')
    elif inverse_min_event_ndims is None:
        inverse_min_event_ndims = forward_min_event_ndims
    elif forward_min_event_ndims is None:
        forward_min_event_ndims = inverse_min_event_ndims
    if not isinstance(forward_min_event_ndims, int):
        raise TypeError('Expected forward_min_event_ndims to be of type int, got {}'.format(type(forward_min_event_ndims).__name__))
    if <MASK>:
        raise TypeError('Expected inverse_min_event_ndims to be of type int, got {}'.format(type(inverse_min_event_ndims).__name__))
    if forward_min_event_ndims < 0:
        raise ValueError('forward_min_event_ndims must be a non-negative integer.')
    if inverse_min_event_ndims < 0:
        raise ValueError('inverse_min_event_ndims must be a non-negative integer.')
    self._forward_min_event_ndims = forward_min_event_ndims
    self._inverse_min_event_ndims = inverse_min_event_ndims
    self._is_constant_jacobian = is_constant_jacobian
    self._constant_ildj_map = {}
    self._validate_args = validate_args
    self._dtype = dtype
    self._from_y = {}
    self._from_x = {}
    if name:
        self._name = name
    else:

        def camel_to_snake(name):
            s1 = re.sub('(.)([A-Z][a-z]+)', '\\1_\\2', name)
            return re.sub('([a-z0-9])([A-Z])', '\\1_\\2', s1).lower()
        self._name = camel_to_snake(type(self).__name__.lstrip('_'))
    for (i, t) in enumerate(self._graph_parents):
        if t is None or not tensor_util.is_tf_type(t):
            raise ValueError('Graph parent item %d is not a Tensor; %s.' % (i, t))",False,"not isinstance(inverse_min_event_ndims, int)","not isinstance ( x , ( list , tuple ))",47.99
